date,information_date,status,message,estimated_tracking_error
2018-12-20,2018-12-19,optimal,,0.030877668783800234
2019-01-01,2018-12-31,optimal,,0.04427800659685131
2019-02-01,2019-01-31,optimal,,0.04715504968457399
2019-03-01,2019-02-28,optimal,,0.046109281557338164
2019-04-01,2019-03-29,optimal,,0.04605209403237958
2019-05-01,2019-04-30,optimal,,0.04388755825836115
2019-06-03,2019-05-31,optimal,,0.0424813225770868
2019-07-01,2019-06-28,optimal,,0.04255246700103488
2019-08-01,2019-07-31,optimal,,0.03992744336732267
2019-09-02,2019-08-30,optimal,,0.042630102512454325
2019-10-01,2019-09-30,optimal,,0.04476997380301575
2019-11-01,2019-10-31,optimal,,0.04118719680830108
2019-12-02,2019-11-29,optimal,,0.041673639253250495
2020-01-01,2019-12-31,optimal,,0.04120799676749924
2020-02-03,2020-01-31,optimal,,0.0446037353632098
2020-03-02,2020-02-28,optimal,,0.043939424371528826
2020-04-01,2020-03-31,optimal,,0.04060319242643995
2020-05-01,2020-04-30,optimal,,0.039869890815323494
2020-06-01,2020-05-29,optimal,,0.044183270673732566
2020-07-01,2020-06-30,optimal,,0.04070475793720917
2020-08-03,2020-07-31,optimal,,0.04232090651420429
2020-09-01,2020-08-31,optimal,,0.04599428588177145
2020-10-01,2020-09-30,optimal,,0.0422705175245003
2020-11-02,2020-10-30,optimal,,0.03901550307605174
2020-12-01,2020-11-30,optimal,,0.04109988569636919
2021-01-01,2020-12-31,optimal,,0.040504318980145906
2021-02-01,2021-01-29,optimal,,0.038786743885919996
2021-03-01,2021-02-26,optimal,,0.039864497671040944
2021-04-01,2021-03-31,optimal,,0.042491959157098164
2021-05-03,2021-04-30,optimal,,0.04364652260390081
2021-06-01,2021-05-31,optimal,,0.04175389446624756
2021-07-01,2021-06-30,optimal,,0.03964398059729177
2021-08-02,2021-07-30,optimal,,0.03825657602925972
2021-09-01,2021-08-31,optimal,,0.04243721212398428
2021-10-01,2021-09-30,optimal,,0.040758610084652855
2021-11-01,2021-10-29,optimal,,0.040672950349197705
2021-12-01,2021-11-30,optimal,,0.042932393100028124
2022-01-03,2021-12-31,optimal,,0.04110494112372123
2022-02-01,2022-01-31,optimal,,0.04327155709698347
2022-03-01,2022-02-28,optimal,,0.04186874139580009
2022-04-01,2022-03-31,optimal,,0.03962265230609583
2022-05-02,2022-04-29,optimal,,0.03901313118758297
2022-06-01,2022-05-31,optimal,,0.03959523269772798
2022-07-01,2022-06-30,optimal,,0.03997624319133289
2022-08-01,2022-07-29,optimal,,0.04071925344556645
2022-09-01,2022-08-31,optimal,,0.042611603291675904
2022-10-03,2022-09-30,optimal,,0.04386807713190611
2022-11-01,2022-10-31,optimal,,0.042800886781043386
2022-12-01,2022-11-30,optimal,,0.0438430552628568
2023-01-02,2022-12-30,optimal,,0.03945725031768866
2023-02-01,2023-01-31,optimal,,0.039980567517033876
2023-03-01,2023-02-28,optimal,,0.03847260940147017
2023-04-03,2023-03-31,optimal,,0.04128482406673876
2023-05-01,2023-04-28,optimal,,0.041615588855234836
2023-06-01,2023-05-31,optimal,,0.04165522851262504
2023-07-03,2023-06-30,optimal,,0.043743245851775296
2023-08-01,2023-07-31,optimal,,0.04212387199298158
2023-09-01,2023-08-31,optimal,,0.044546157670049887
2023-10-02,2023-09-29,optimal,,0.04623927599959585
