date,period_end,observations,ic,terminal_period
2018-12-20,2018-12-31,8,0.0450281425891182,False
2019-01-01,2019-01-31,23,-0.049718574108818026,False
2019-02-01,2019-02-28,20,0.019699812382739212,False
2019-03-01,2019-03-29,21,-0.175797373358349,False
2019-04-01,2019-04-30,22,-0.09230769230769233,False
2019-05-01,2019-05-31,23,-0.004315196998123829,False
2019-06-03,2019-06-28,20,-0.01181988742964353,False
2019-07-01,2019-07-31,23,0.326454033771107,False
2019-08-01,2019-08-30,22,0.48461538461538467,False
2019-09-02,2019-09-30,21,-0.175797373358349,False
2019-10-01,2019-10-31,23,0.10806754221388369,False
2019-11-01,2019-11-29,21,-0.14446529080675424,False
2019-12-02,2019-12-31,22,-0.12420262664165106,False
2020-01-01,2020-01-31,23,0.07354596622889306,False
2020-02-03,2020-02-28,20,0.033020637898686686,False
2020-03-02,2020-03-31,22,-0.3596622889305817,False
2020-04-01,2020-04-30,22,-0.15872420262664166,False
2020-05-01,2020-05-29,21,-0.06810506566604127,False
2020-06-01,2020-06-30,22,-0.1131332082551595,False
2020-07-01,2020-07-31,23,-0.08161350844277675,False
2020-08-03,2020-08-31,21,0.08911819887429645,False
2020-09-01,2020-09-30,22,-0.0804878048780488,False
2020-10-01,2020-10-30,22,0.17242026266416513,False
2020-11-02,2020-11-30,21,0.06547842401500939,False
2020-12-01,2020-12-31,23,0.11163227016885555,False
2021-01-01,2021-01-29,21,-0.09606003752345216,False
2021-02-01,2021-02-26,20,0.17954971857410884,False
2021-03-01,2021-03-31,23,-0.04878048780487805,False
2021-04-01,2021-04-30,22,0.08592870544090057,False
2021-05-03,2021-05-31,21,0.028705440900562852,False
2021-06-01,2021-06-30,22,0.17485928705440903,False
2021-07-01,2021-07-30,22,-0.1960600375234522,False
2021-08-02,2021-08-31,22,0.15928705440900565,False
2021-09-01,2021-09-30,22,-0.12082551594746718,False
2021-10-01,2021-10-29,21,0.039024390243902446,False
2021-11-01,2021-11-30,22,0.033020637898686686,False
2021-12-01,2021-12-31,23,-0.001876172607879925,False
2022-01-03,2022-01-31,21,-0.3936210131332083,False
2022-02-01,2022-02-28,20,-0.15872420262664166,False
2022-03-01,2022-03-31,23,0.20018761726078801,False
2022-04-01,2022-04-29,21,-0.006191369606003753,False
2022-05-02,2022-05-31,22,0.09587242026266417,False
2022-06-01,2022-06-30,22,-0.007692307692307694,False
2022-07-01,2022-07-29,21,-0.24258911819887435,False
2022-08-01,2022-08-31,23,-0.250656660412758,False
2022-09-01,2022-09-30,22,0.22232645403377113,False
2022-10-03,2022-10-31,21,0.20900562851782367,False
2022-11-01,2022-11-30,22,0.22363977485928707,False
2022-12-01,2022-12-30,22,-0.09380863039399626,False
2023-01-02,2023-01-31,22,-0.13151969981238276,False
2023-02-01,2023-02-28,20,0.12382739212007506,False
2023-03-01,2023-03-31,23,-0.15046904315197,False
2023-04-03,2023-04-28,20,-0.007879924953095686,False
2023-05-01,2023-05-31,23,-0.013508442776735461,False
2023-06-01,2023-06-30,22,-0.20525328330206383,False
2023-07-03,2023-07-31,21,0.01876172607879925,False
2023-08-01,2023-08-31,23,0.01857410881801126,False
2023-09-01,2023-09-29,21,-0.31031894934333965,False
2023-10-02,2023-10-18,13,-0.05834896810506568,True
