seed,capture_TE_4,capture_TE_12,delta_TE,capture_turnover_10,capture_turnover_50,delta_turnover,dominance_delta,realized_turnover_at_10,realized_turnover_at_50,scenario_status,scenario_error,dataset_identity,configuration_fingerprint,fixed_settings_fingerprint
40,0.9414097906300994,0.9488272838924176,0.0074174932623181,0.7959374147234137,0.965139444600429,0.1692020298770152,0.1617845366146971,0.1000000000031806,0.3150101789253512,success,,76decbc0be0cd3b921cd2bc005c5493b12fc89e6e9d7c1ac97a80539f006581f,dd8384f21eca0c8f53891db97f4c48201c4481b3bd52c17f8c818cdc4cb26630,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
41,0.9498217322371216,0.958504563502802,0.0086828312656803,0.8157261051824815,0.9695753961061684,0.1538492909236868,0.1451664596580064,0.099999999948155,0.2979365654727554,success,,3e3bcd04a09549402cc27687e4c45dc1d6a66a064382751f7742cd6ce9a10aff,24ac4c3d470229bb55cafcc1a047a75438173ab982633aa858787619164bf2f1,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
42,0.9554576678601436,0.9636666505084016,0.008208982648258,0.8463252085187889,0.9737183468718064,0.1273931383530173,0.1191841557047592,0.0999999999434511,0.2886243176314558,success,,a1f394431e1958c6a99d0ef5393dface76d568589010b66631e07acd157db1f8,62793719e9412176d6b71126f33eb2dc91b16d91d04197ead5831a8e4ad5c3ea,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
43,0.9230184996658252,0.931701130994252,0.0086826313284269,0.8123943435691852,0.947921390204053,0.1355270466348678,0.1268444153064408,0.0999999999905511,0.3154878450612991,success,,0dbedbe04022788fd4cd5d4481f62a742befff67cd6fc739847984b67c012de8,f8a8685e0a6d994ea40011e7a6ad22173117d598975c023c182bb13c78855f8d,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
44,0.9424546250856888,0.9633029594384668,0.0208483343527782,0.8466303084245458,0.9719011478156176,0.1252708393910717,0.1044225050382935,0.0999999999572451,0.2807376349906975,success,,5f07c2626eb1b6bafa8de74031ba89007a77fe88388054c0bffb4cb1041dda3e,4cc1e49896c5788a68c0c5205e8fbb62a3bb33808a7c0c74d337fb37cf4ef5d3,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
45,0.9332482824912116,0.9390600727682268,0.005811790277015,0.7871581168608888,0.9512077367596796,0.1640496198987909,0.1582378296217759,0.1000000000526444,0.3050213150375823,success,,f4e086e5c18d9d1b7ca8ac08470ee4c4069912a8325b8785135fdfd6bd60d821,0f2646808c496667ad8f4afa8eafe37e241c388b4ceab4f0e6809c797a53b75f,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
46,,0.945792609980138,,0.8089950900474504,0.959459707403432,0.1504646173559817,,0.1000000000130467,0.3119746396023555,incomplete,Optimization failed on 2021-12-01: optimal_inaccurate: No accepted optimum; constraints were not relaxed,deab9519071e6a75a34830f6671a3643590426f39152154476ddc93b8d277794,c5edc233401975ccb06ec2ae3d29a439a948c2322b3d7b300193b2a9c3d91bfc,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
47,0.9507822131105712,0.9593776757546758,0.0085954626441044,0.8207123236266138,0.9723687969658604,0.1516564733392464,0.143061010695142,0.0999883845910784,0.2889045109443985,success,,135967115322d99161191e6af87388ecf79bc996f8c779d0725d1b1320d8471b,799068e8fdca66271d16c939d2f27cfd59f65fcefac3dea01155067c7960e069,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
48,0.9510859055803336,0.9669113335398326,0.0158254279594991,0.8414251654182587,0.9779580389354376,0.1365328735171788,0.1207074455576796,0.0999999999986659,0.2888305405354231,success,,815ca232a5392d7386bf0bbe47dcd32bbd15e4e30e75e9eea6f86bb096058e1c,ae5e755c15d843419b169360805f7a78ac1688ee38ec6ee757fa5ebfbc7b67ac,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
49,0.9332346645261388,0.9545249549502902,0.0212902904241515,0.7949997692598464,0.966189357142615,0.1711895878827686,0.149899297458617,0.1000000000798947,0.3027527016711684,success,,aef32fc966a2f316e6c4a2657476622b8c31f0361c17510eb7cd780e038346fd,057c43a71cf721fe679434c9f8a0ff8f49e9e6f43ebcbee23c113bc1e6813123,ded282965994600f4d2d3fc2b945b20c06c0b3d2cd4ef01cf59228d1bd107a08
